GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,"WATANNABE STUDIO, SL",watannabe studio sl,https://watannabe.com/,ESB 42879346.00,Spain,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sustainable(ish),sustainable(ish),https://www.asustainablelife.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,TogetherintheUK,togetherintheuk,https://togetherintheuk.co.uk,20/7/29206,United Kingdom,Western European and Others Group (WEOG),,,SME,Non-governmental organization,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SkylarkMedia,skylarkmedia,http://skylarkmedia.co.uk,8/10/16810,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP17809,Travolution Travel,travolution travel,http://www.travolution.travel,76.109.993-0,Chile,Latin American and Caribbean Group (GRULAC),,,SME,Retail and wholesale,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Garden Studios,garden studios,https://www.gardenstudios.io/,GB 379,United Kingdom,Western European and Others Group (WEOG),,,SME,Activities of membership organisations,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Lodestone Communications,lodestone communications,http://lodestonecommunications.com,129 7673 74,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Fourwho Ltd, t/a imployable",fourwho t/a imployable,https://www.facebook.com/imployable,30/8/31608,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Olyi Ltd,olyi,http://WWw.olyiltd.com,28/11/26602,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Millwright Ltd,millwright,no_website,26/5/18369,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,TB Associates,tb associates,https://tb.associates/,1010738405,Saudi Arabia,Asia-Pacific Group,,,SME,Construction and civil engineering,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,sha¯r,sha¯r,http://www.sharsnacks.com,,United States of America,Western European and Others Group (WEOG),,,SME,Manufacturing - Food and beverages,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Courtyard Trust,the courtyard,http://www.courtyard.org.uk,880994568,United Kingdom,Western European and Others Group (WEOG),,,SME,Activities of membership organisations,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Parkfield Electroplating Co Ltd,parkfield electroplating,http://www.parkfieldelectro.com,559 5945 79,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Chemicals,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Climetría,climetría,https://www.linkedin.com/company/climetriaperu/,20601258863,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other commercial service activities,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,RD Group - EFT Consult,rd eft consult,http://Www.eftconsult.co.uk,150 2304 66,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Welcombe Skincare Ltd,welcombe skincare,https://www.welcombeskincare.com/,31/3/38729,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MEDILOGIK Ltd,medilogik,https://www.medilogik.co.uk/,26/6/20264,United Kingdom,Western European and Others Group (WEOG),,,SME,Health care and services,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mum Pod Company Ltd,mum pod,no_website,14/11/38300,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Organic Plant Nursery,organic plant nursery,http://www.organicplantnursery.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ThinkTank Maths Limited,thinktank maths,https://www.thinktankmaths.com/,SC343621,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Umbrella Training Ltd,umbrella training,http://www.umbrellatraining.co.uk,30/3/24582,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Arab Contractors Osman Ahmed Osman,the arab contractors osman ahmed osman,https://www.arabcont.com/English/,,Egypt,African Group,,,SME,Construction and civil engineering,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sowden + Sowden,sowden + sowden,http://@sowdens,,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Total Reclaims Demolition Limited,total reclaims demolition,https://www.totalreclaims.com,23/5/12637,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Lendology,lendology,https://www.lendology.org.uk/,18/1/14254,United Kingdom,Western European and Others Group (WEOG),,,SME,Finance - General,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Crowdguard Ltd,crowdguard,http://www.crowdguard.co.uk,25/3/34575,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP22479,Chicory Wealth,chicory wealth,http://chicorywealth.com,,United States of America,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,VAS Group,vas,https://vas-group.co.uk/,279643454,United Kingdom,Western European and Others Group (WEOG),,,SME,Real estate activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Getech Ltd,getech,http://www.getech.co.uk,3/1/8571,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Jumbo Marknesse,jumbo marknesse,http://www.jumbokooistra.nl,16/10/4797,Netherlands,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Uniqco WA Pty Ltd,uniqco wa,http://www.uniqco.com.au,51108029241,Australia,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,iESE,iese,http://www.iese.org.uk,23/5/23028,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Inform Solutions,inform solutions,https://inform.solutions/,,United States of America,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bike Boom ltd,bike boom,http://www.bikeboom.co.uk,30/9/36931,Afghanistan,Asia-Pacific Group,,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Lemay CO inc.,lemay,http://www.lemay.com,1149007115,Canada,Western European and Others Group (WEOG),,,SME,Construction,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Kingfisher Media,kingfisher media,https://kingfishervisitorguides.com,19/1/18169,United Kingdom,Western European and Others Group (WEOG),,,SME,Tourism and hospitality,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,EcoRich Composting Solutions,ecorich composting solutions,http://www.ecorichenv.com,810731112,United States of America,Western European and Others Group (WEOG),,,SME,Manufacturing - Heavy industries,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Matthias Winter,matthias winter,http://matthiaswinter.co.uk,399160164,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Offset Films,offset films,http://www.offsetfilms.co.uk,390263890,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/9/2024,SME Climate Hub,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Green Mandarin,green mandarin,http://mandarin.green,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MISS/MS,miss/ms,http://www.janecraigie.com,29/12/15217,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Centrespace Design,centrespace design,https://www.centrespacedesign.co.uk/,OC357210,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Adssets AB,adssets,http://www.adssets.com,SE556779220401,Sweden,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Green Unit Limited,green unit,http://www.greenunit.co.uk,139455882,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,TRUST Climate Action Strategists / TEDxVail,climate action strategists tedxvail,https://www.trustclimateactionstrategists.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Membership organizations,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sontronics (Omnisonic International Ltd),sontronics (omnisonic ltd),http://www.sontronics.com,GB808496987,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Consumer goods,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Synergy15 Ltd,synergy15,http://synergy15.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,cava security services ltd,cava security services,http://www.cavasecurity.co.uk,27/5/16597,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Insife,insife,http://insife.com,DK38819259,Denmark,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Naked Agility Ltd.,naked agility,https://nkdagility.com,SC451660,Uganda,African Group,,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,time2sustain GmbH,time2sustain,http://www.time2sustain.com,DE319992983,Germany,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,McLaren Packaging Ltd,mclaren packaging,http://mclarenpackaging.com,25/8/2086,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Consumer goods,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sompting Estate,sompting estate,http://www.somptingestate.com,799722461,United Kingdom,Western European and Others Group (WEOG),,,SME,Agriculture Crops not elsewhere classified,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Landmark Property Solutions Ltd,landmark property solutions,no_website,5/7/23874,United Kingdom,Western European and Others Group (WEOG),,,SME,Real estate activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,GRWN Group Limited,grwn,http://www.grwngroup.com,13/4/40841,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aqualution Systems Ltd,aqualution systems,http://www.aqualution.co.uk,26/8/13127,Afghanistan,Asia-Pacific Group,,,SME,Pharmaceuticals,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,sustainable Travel and Transportation Network,sustainable travel transportation network,http://www.sttnetwork.com,88-2694766,United States of America,Western European and Others Group (WEOG),,,SME,Repair household goods,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,European Confederation of Woodworking Industries,european confederation of woodworking industries,https://www.cei-bois.org/,,Belgium,Western European and Others Group (WEOG),,,SME,Manufacturing,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP22314,BecomingX Ventures Limited,becomingx ventures,http://www.becomingx.com,1/7/33760,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cosy direct,cosy direct,http://Cosydirect.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Experis,experis,http://experis.ca,,Canada,Western European and Others Group (WEOG),,,SME,Information technology,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Achieving Aspirations CIC,achieving aspirations,https://achievingaspirations.org/,23/6/27611,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bright Ideas Consultancy Ltd,bright ideas consultancy,http://www.bright-ideas.info,26/2/36426,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Onlii,the onlii,http://www.theonlii.com,381695167,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Playmas Tech Inc.,playmas tech,https://www.playmas.app/,88-1114360,United States of America,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Material Evolution,material evolution,http://www.materialevolution.com,NI649729,United Kingdom,Western European and Others Group (WEOG),,,SME,Cement lime and plaster manufacturing,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brand Xposure UK Ltd t/a BX Merchandise,brand xposure uk t/a bx merchandise,http://www.bxmerchandise.com,910362462,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Megahertz Ltd,megahertz,http://www.megahertz.co.uk,GB 135 9727 84,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Business Reporter,the reporter,https://business-reporter.co.uk/,GB 830519543,United Kingdom,Western European and Others Group (WEOG),,,SME,Publishing activities,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Elvington medical Practice,elvington medical practice,https://www.elvingtonmedicalpractice.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Health and social work,,1/9/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,EcoDigital AG,ecodigital,https://www.ecodigital.group/,CHE-262.467.796,Switzerland,Western European and Others Group (WEOG),,,SME,Telecommunication,,1/8/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Gleener Inc.,gleener,http://WWW.GLEENER.COM,,Canada,Western European and Others Group (WEOG),,,SME,Manufacturing - Consumer goods,,1/8/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Grupo Wgl Soluções em energia,grupo wgl soluções energia,https://www.wglgeradores.com.br/,Grupo Wgl Soluções em energia,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Non-governmental organization,,1/8/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
